,cas_number,vapor pressure,temperature,substantivity,percentage
3543,118-93-4,0.086,25.0,360.0,100.0
3550,107-75-5,0.003,25.0,218.0,100.0
3556,141-92-4,0.001,25.0,400.0,100.0
3562,107-74-4,0.001,25.0,248.0,100.0
3574,59056-64-3,0.001,25.0,208.0,100.0
3582,8006-83-5,0.35,25.0,92.0,100.0
3605,80748-58-9,4.6e-05,25.0,400.0,100.0
3613,112-45-8,0.039,25.0,380.0,100.0
3618,25312-34-9,0.001,25.0,88.0,100.0
3620,22029-76-1,0.000431,25.0,168.0,100.0
3623,127-41-3,0.014,25.0,112.0,100.0
3624,14901-07-6,0.017,25.0,112.0,100.0
3625,79-77-6,0.004,25.0,0.5,100.0
3627,23267-57-4,0.005,25.0,48.0,100.0
3630,52210-18-1,0.002,25.0,24.0,100.0
3631,22030-19-9,0.001,25.0,24.0,100.0
3641,79-69-6,0.004,25.0,104.0,100.0
3642,79-70-9,0.002,25.0,264.0,100.0
3643,27939-60-2,0.953,25.0,0.5,100.0
3644,68039-49-6,0.578,25.0,8.0,100.0
3645,68039-48-5,0.578,25.0,16.0,100.0
3646,67801-65-4,0.578,25.0,16.0,100.0
3649,68901-32-6,0.001,25.0,32.0,100.0
3668,34686-67-4,0.004,25.0,112.0,100.0
3672,34686-71-0,0.004,25.0,400.0,100.0
3673,78649-62-4,0.093,25.0,12.0,100.0
3676,38285-49-3,0.006,25.0,356.0,100.0
3677,68959-28-4,0.001,25.0,340.0,100.0
3682,51608-18-5,0.122,25.0,0.5,100.0
3699,488-10-8,0.01,25.0,68.0,100.0
3700,95-41-0,0.016,25.0,32.0,100.0
3702,40010-99-9,0.000332,25.0,400.0,100.0
3704,18871-14-2,0.004,25.0,356.0,100.0
3721,94406-15-2,0.01,25.0,24.0,100.0
3724,109-29-5,2.6e-05,25.0,400.0,100.0
3806,143-07-7,0.001,25.0,0.5,100.0
3896,28069-74-1,0.53,25.0,0.5,100.0
3897,7493-57-4,0.02,25.0,29.0,100.0
3898,22457-23-4,0.041,25.0,16.0,100.0
3899,4621-04-9,0.068,25.0,12.0,100.0
3901,5764-85-2,0.000186,25.0,284.0,100.0
3905,31906-04-4,2.9e-05,25.0,400.0,100.0
3912,8008-56-8,0.95,25.0,4.0,100.0
3913,8008-56-8,0.95,25.0,4.0,100.0
3917,8008-56-8,0.95,25.0,4.0,100.0
3918,68916-89-2,0.95,25.0,4.0,100.0
3936,8007-02-1,0.07,25.0,92.0,100.0
3965,67633-92-5,0.003,25.0,168.0,100.0
3974,104-09-6,0.115,25.0,352.0,100.0
3978,10415-87-9,0.003,25.0,304.0,100.0
3984,55066-49-4,0.005,25.0,184.0,100.0
3985,103694-68-4,0.002,25.0,400.0,100.0
3986,80-54-6,0.005,25.0,236.0,100.0
3994,8008-26-2,0.8,25.0,20.0,100.0
3996,8008-26-2,0.8,25.0,20.0,100.0
4000,8008-26-2,0.8,25.0,20.0,100.0
